is_tested,gender,age,wage,region,date,type
No,Male,18-34,less than IDR 3 million,North Jakarta,2019-04-05,rapid
No,Male,18-34,IDR 3-5 million,South Jakarta,2019-04-06,rapid
Yes,Male,31-50,more than IDR 25 million,North Jakarta,2019-04-06,rapid
Yes,Female,31-50,IDR 10-25 million,South Jakarta,2019-04-06,rapid
Yes,Female,18-34,more than IDR 25 million,South Jakarta,2019-04-06,rapid
Yes,Female,31-50,less than IDR 3 million,Central Jakarta,2019-04-06,rapid
Yes,Male,50+,IDR 3-5 million,Central Jakarta,2019-04-06,rapid
No,Male,31-50,more than IDR 25 million,Central Jakarta,2019-04-06,rapid
No,Female,18-34,IDR 5-10 million,East Jakarta,2019-04-06,rapid
No,Female,50+,IDR 5-10 million,South Jakarta,2019-04-06,rapid
No,Female,31-50,IDR 3-5 million,South Jakarta,2019-04-06,rapid
Yes,Female,18-34,IDR 3-5 million,North Jakarta,2019-04-06,rapid
No,Female,31-50,IDR 10-25 million,East Jakarta,2019-04-06,rapid
Yes,Male,18-34,IDR 10-25 million,South Jakarta,2019-04-06,rapid
Yes,Male,18-34,less than IDR 3 million,West Jakarta,2019-04-06,rapid
No,Male,50+,less than IDR 3 million,Central Jakarta,2019-04-06,rapid
No,Female,18-34,IDR 10-25 million,East Jakarta,2019-04-06,rapid
No,Female,50+,IDR 10-25 million,Central Jakarta,2019-04-06,rapid
No,Male,31-50,less than IDR 3 million,North Jakarta,2019-04-06,rapid
Yes,Female,31-50,more than IDR 25 million,East Jakarta,2019-04-06,rapid
Yes,Female,50+,IDR 5-10 million,East Jakarta,2019-04-06,rapid
No,Female,18-34,more than IDR 25 million,West Jakarta,2019-04-06,rapid
No,Male,50+,IDR 10-25 million,East Jakarta,2019-04-06,rapid
No,Female,50+,IDR 10-25 million,East Jakarta,2019-04-06,rapid
Yes,Male,31-50,IDR 3-5 million,East Jakarta,2019-04-06,rapid
No,Male,31-50,IDR 5-10 million,Central Jakarta,2019-04-06,rapid
Yes,Male,18-34,less than IDR 3 million,East Jakarta,2019-04-06,rapid
Yes,Male,18-34,IDR 5-10 million,West Jakarta,2019-04-06,rapid
Yes,Male,31-50,IDR 5-10 million,Central Jakarta,2019-04-06,rapid
Yes,Male,18-34,IDR 5-10 million,North Jakarta,2019-04-06,rapid
Yes,Male,18-34,less than IDR 3 million,South Jakarta,2019-05-05,rapid
Yes,Male,18-34,more than IDR 25 million,Central Jakarta,2019-05-05,rapid
No,Male,18-34,IDR 3-5 million,North Jakarta,2019-05-05,rapid
No,Male,18-34,IDR 10-25 million,North Jakarta,2019-05-05,rapid
No,Male,31-50,more than IDR 25 million,Central Jakarta,2019-05-05,rapid
Yes,Male,31-50,IDR 5-10 million,Central Jakarta,2019-05-05,rapid
No,Female,18-34,more than IDR 25 million,North Jakarta,2019-05-05,rapid
No,Female,50+,IDR 10-25 million,South Jakarta,2019-05-05,rapid
Yes,Male,18-34,IDR 10-25 million,West Jakarta,2019-05-05,rapid
Yes,Male,18-34,IDR 5-10 million,North Jakarta,2019-05-05,rapid
Yes,Male,50+,IDR 5-10 million,West Jakarta,2019-05-05,rapid
Yes,Male,50+,IDR 3-5 million,East Jakarta,2019-05-05,rapid
Yes,Male,50+,IDR 3-5 million,West Jakarta,2019-05-05,rapid
Yes,Female,31-50,IDR 10-25 million,West Jakarta,2019-05-05,rapid
Yes,Female,18-34,more than IDR 25 million,North Jakarta,2019-05-05,rapid
No,Female,31-50,IDR 5-10 million,Central Jakarta,2019-05-05,rapid
No,Male,18-34,IDR 10-25 million,Central Jakarta,2019-05-05,rapid
No,Female,18-34,IDR 5-10 million,South Jakarta,2019-05-05,rapid
No,Female,50+,more than IDR 25 million,East Jakarta,2019-05-05,rapid
No,Male,31-50,IDR 5-10 million,North Jakarta,2019-05-05,rapid
No,Female,31-50,IDR 10-25 million,North Jakarta,2019-05-05,rapid
No,Male,50+,more than IDR 25 million,East Jakarta,2019-05-05,rapid
Yes,Female,50+,IDR 5-10 million,South Jakarta,2019-05-05,rapid
Yes,Female,18-34,IDR 10-25 million,Central Jakarta,2019-05-05,rapid
No,Male,31-50,more than IDR 25 million,West Jakarta,2019-05-05,rapid
No,Male,50+,IDR 3-5 million,South Jakarta,2019-05-05,rapid
No,Male,31-50,less than IDR 3 million,West Jakarta,2019-05-05,rapid
Yes,Female,31-50,IDR 5-10 million,North Jakarta,2019-05-05,rapid
Yes,Female,50+,more than IDR 25 million,Central Jakarta,2019-05-05,rapid
Yes,Male,31-50,more than IDR 25 million,East Jakarta,2019-05-05,rapid
No,Male,31-50,IDR 10-25 million,East Jakarta,2019-05-05,rapid
Yes,Male,50+,less than IDR 3 million,East Jakarta,2019-05-05,rapid
No,Female,31-50,IDR 10-25 million,South Jakarta,2019-05-05,rapid
No,Male,31-50,IDR 3-5 million,West Jakarta,2019-05-05,rapid
Yes,Male,50+,IDR 10-25 million,West Jakarta,2019-05-05,rapid
No,Female,50+,IDR 10-25 million,Central Jakarta,2019-05-06,rapid
No,Male,50+,more than IDR 25 million,Central Jakarta,2019-05-06,rapid
Yes,Male,18-34,less than IDR 3 million,North Jakarta,2019-05-06,rapid
No,Female,50+,less than IDR 3 million,Central Jakarta,2019-05-06,rapid
No,Female,18-34,IDR 10-25 million,Central Jakarta,2019-05-06,rapid
Yes,Male,18-34,less than IDR 3 million,East Jakarta,2019-05-06,rapid
Yes,Male,31-50,less than IDR 3 million,West Jakarta,2019-05-06,rapid
No,Male,31-50,less than IDR 3 million,North Jakarta,2019-05-06,rapid
No,Female,18-34,IDR 5-10 million,East Jakarta,2019-05-06,rapid
No,Male,18-34,more than IDR 25 million,Central Jakarta,2019-05-06,rapid
Yes,Female,50+,less than IDR 3 million,East Jakarta,2019-05-06,rapid
Yes,Female,18-34,IDR 5-10 million,West Jakarta,2019-05-06,rapid
Yes,Female,31-50,less than IDR 3 million,Central Jakarta,2019-05-06,rapid
No,Male,18-34,more than IDR 25 million,West Jakarta,2019-05-06,rapid
Yes,Female,50+,IDR 10-25 million,West Jakarta,2019-05-06,rapid
Yes,Male,50+,IDR 5-10 million,South Jakarta,2019-05-06,rapid
No,Female,18-34,IDR 10-25 million,East Jakarta,2019-05-06,rapid
Yes,Male,18-34,more than IDR 25 million,West Jakarta,2019-05-06,rapid
No,Male,31-50,less than IDR 3 million,West Jakarta,2019-05-06,rapid
No,Female,50+,more than IDR 25 million,North Jakarta,2019-05-06,rapid
No,Male,18-34,less than IDR 3 million,South Jakarta,2019-05-06,rapid
Yes,Female,50+,IDR 5-10 million,North Jakarta,2019-05-06,rapid
Yes,Female,31-50,IDR 10-25 million,East Jakarta,2019-05-06,rapid
No,Female,31-50,IDR 3-5 million,Central Jakarta,2019-05-06,rapid
Yes,Male,50+,more than IDR 25 million,East Jakarta,2019-05-06,rapid
Yes,Male,18-34,less than IDR 3 million,South Jakarta,2019-05-06,rapid
Yes,Female,18-34,IDR 3-5 million,North Jakarta,2019-05-06,rapid
No,Female,50+,IDR 3-5 million,East Jakarta,2019-05-06,rapid
No,Female,31-50,IDR 10-25 million,North Jakarta,2019-05-13,rapid
No,Male,31-50,less than IDR 3 million,West Jakarta,2019-05-13,rapid
No,Female,18-34,IDR 10-25 million,West Jakarta,2019-05-13,rapid
Yes,Female,31-50,more than IDR 25 million,East Jakarta,2019-05-13,rapid
No,Male,31-50,more than IDR 25 million,Central Jakarta,2019-05-13,rapid
No,Male,50+,IDR 5-10 million,West Jakarta,2019-05-13,rapid
Yes,Male,50+,more than IDR 25 million,Central Jakarta,2019-05-13,rapid
Yes,Male,18-34,IDR 10-25 million,West Jakarta,2019-05-13,rapid
No,Male,50+,IDR 10-25 million,North Jakarta,2019-05-13,rapid
Yes,Male,18-34,IDR 10-25 million,South Jakarta,2019-05-13,rapid
Yes,Male,31-50,IDR 10-25 million,South Jakarta,2019-05-13,rapid
No,Male,50+,IDR 5-10 million,South Jakarta,2019-05-13,rapid
Yes,Female,50+,IDR 5-10 million,West Jakarta,2019-05-13,rapid
No,Female,18-34,more than IDR 25 million,North Jakarta,2019-05-13,rapid
Yes,Female,50+,less than IDR 3 million,North Jakarta,2019-05-13,rapid
Yes,Male,31-50,IDR 5-10 million,West Jakarta,2019-05-13,rapid
Yes,Male,18-34,less than IDR 3 million,East Jakarta,2019-05-13,rapid
No,Female,31-50,IDR 5-10 million,Central Jakarta,2019-05-13,rapid
No,Female,31-50,IDR 10-25 million,West Jakarta,2019-05-14,rapid
No,Male,18-34,IDR 10-25 million,Central Jakarta,2019-05-14,rapid
No,Female,50+,IDR 10-25 million,Central Jakarta,2019-05-14,rapid
No,Male,50+,IDR 10-25 million,Central Jakarta,2019-05-14,rapid
Yes,Female,50+,IDR 3-5 million,South Jakarta,2019-05-14,rapid
No,Male,18-34,less than IDR 3 million,Central Jakarta,2019-05-14,rapid
No,Male,31-50,IDR 5-10 million,Central Jakarta,2019-05-14,rapid
No,Female,31-50,more than IDR 25 million,West Jakarta,2019-05-14,rapid
No,Male,50+,more than IDR 25 million,North Jakarta,2019-05-14,rapid
Yes,Male,31-50,IDR 5-10 million,West Jakarta,2019-05-14,rapid
Yes,Male,50+,IDR 3-5 million,West Jakarta,2019-05-14,rapid
Yes,Male,50+,IDR 10-25 million,North Jakarta,2019-05-14,rapid
Yes,Male,31-50,more than IDR 25 million,North Jakarta,2019-05-14,rapid
Yes,Female,18-34,less than IDR 3 million,West Jakarta,2019-05-14,rapid
Yes,Male,18-34,more than IDR 25 million,West Jakarta,2019-05-14,rapid
Yes,Male,31-50,IDR 3-5 million,West Jakarta,2019-05-15,rapid
No,Male,31-50,IDR 3-5 million,East Jakarta,2019-05-15,rapid
No,Male,50+,less than IDR 3 million,North Jakarta,2019-05-15,rapid
No,Female,18-34,IDR 10-25 million,Central Jakarta,2019-05-15,rapid
Yes,Male,50+,less than IDR 3 million,South Jakarta,2019-05-15,rapid
Yes,Female,31-50,IDR 10-25 million,West Jakarta,2019-05-15,rapid
No,Female,18-34,IDR 5-10 million,West Jakarta,2019-05-15,rapid
No,Female,18-34,more than IDR 25 million,South Jakarta,2019-05-15,rapid
Yes,Female,50+,IDR 3-5 million,North Jakarta,2019-05-15,rapid
Yes,Male,18-34,more than IDR 25 million,West Jakarta,2019-05-15,rapid
Yes,Female,18-34,IDR 5-10 million,East Jakarta,2019-05-15,rapid
No,Male,50+,more than IDR 25 million,South Jakarta,2019-05-15,rapid
Yes,Female,31-50,less than IDR 3 million,West Jakarta,2019-05-15,rapid
No,Female,31-50,less than IDR 3 million,South Jakarta,2019-05-16,rapid
Yes,Female,50+,IDR 3-5 million,West Jakarta,2019-05-16,rapid
Yes,Male,31-50,IDR 10-25 million,South Jakarta,2019-05-16,rapid
No,Female,18-34,IDR 5-10 million,West Jakarta,2019-05-16,rapid
Yes,Male,50+,less than IDR 3 million,West Jakarta,2019-05-16,rapid
Yes,Male,31-50,more than IDR 25 million,West Jakarta,2019-05-16,rapid
Yes,Male,18-34,IDR 3-5 million,East Jakarta,2019-05-16,rapid
Yes,Male,50+,IDR 5-10 million,Central Jakarta,2019-05-16,rapid
No,Female,50+,less than IDR 3 million,North Jakarta,2019-05-16,rapid
Yes,Female,31-50,IDR 5-10 million,West Jakarta,2019-05-16,rapid
No,Female,31-50,IDR 10-25 million,North Jakarta,2019-05-16,rapid
No,Male,31-50,IDR 3-5 million,South Jakarta,2019-05-16,rapid
Yes,Female,50+,less than IDR 3 million,South Jakarta,2019-05-16,rapid
No,Male,50+,IDR 5-10 million,East Jakarta,2019-05-16,rapid
Yes,Male,31-50,IDR 10-25 million,North Jakarta,2019-05-16,rapid
Yes,Male,18-34,IDR 5-10 million,East Jakarta,2019-05-16,rapid
No,Female,50+,IDR 3-5 million,Central Jakarta,2019-05-17,rapid
Yes,Male,31-50,less than IDR 3 million,East Jakarta,2019-05-17,rapid
Yes,Female,18-34,IDR 5-10 million,North Jakarta,2019-05-17,rapid
No,Female,31-50,less than IDR 3 million,East Jakarta,2019-05-17,rapid
Yes,Male,31-50,less than IDR 3 million,Central Jakarta,2019-05-17,rapid
No,Female,50+,IDR 10-25 million,Central Jakarta,2019-05-17,rapid
Yes,Male,18-34,IDR 5-10 million,Central Jakarta,2019-05-17,rapid
No,Male,50+,IDR 10-25 million,Central Jakarta,2019-05-17,rapid
Yes,Female,18-34,less than IDR 3 million,West Jakarta,2019-05-17,rapid
No,Male,18-34,IDR 3-5 million,West Jakarta,2019-05-17,rapid
Yes,Male,18-34,more than IDR 25 million,West Jakarta,2019-05-17,rapid
No,Female,18-34,IDR 10-25 million,West Jakarta,2019-05-18,rapid
No,Female,18-34,IDR 10-25 million,Central Jakarta,2019-05-18,rapid
Yes,Female,50+,IDR 10-25 million,South Jakarta,2019-05-18,rapid
No,Female,50+,less than IDR 3 million,South Jakarta,2019-05-18,rapid
Yes,Female,18-34,more than IDR 25 million,East Jakarta,2019-05-18,rapid
Yes,Male,31-50,IDR 3-5 million,West Jakarta,2019-05-18,rapid
No,Male,18-34,less than IDR 3 million,South Jakarta,2019-05-18,rapid
No,Male,50+,less than IDR 3 million,West Jakarta,2019-05-18,rapid
No,Female,18-34,more than IDR 25 million,East Jakarta,2019-05-18,rapid
No,Male,50+,more than IDR 25 million,East Jakarta,2019-05-18,rapid
No,Male,31-50,IDR 10-25 million,Central Jakarta,2019-05-18,rapid
No,Male,31-50,IDR 3-5 million,North Jakarta,2019-05-18,rapid
No,Female,18-34,less than IDR 3 million,East Jakarta,2019-05-18,rapid
No,Female,31-50,IDR 3-5 million,West Jakarta,2019-05-18,rapid
No,Female,50+,IDR 5-10 million,Central Jakarta,2019-05-18,rapid
No,Female,18-34,IDR 5-10 million,East Jakarta,2019-05-19,rapid
Yes,Male,50+,IDR 5-10 million,North Jakarta,2019-05-19,rapid
Yes,Female,31-50,IDR 10-25 million,Central Jakarta,2019-05-19,rapid
Yes,Male,18-34,IDR 3-5 million,Central Jakarta,2019-05-19,rapid
No,Male,18-34,less than IDR 3 million,West Jakarta,2019-05-19,rapid
No,Female,18-34,IDR 10-25 million,West Jakarta,2019-05-19,rapid
Yes,Female,18-34,IDR 10-25 million,West Jakarta,2019-05-19,rapid
No,Female,31-50,IDR 5-10 million,East Jakarta,2019-05-19,rapid
No,Male,50+,IDR 10-25 million,West Jakarta,2019-05-19,rapid
Yes,Male,50+,IDR 5-10 million,Central Jakarta,2019-05-19,rapid
No,Male,50+,IDR 3-5 million,West Jakarta,2019-05-19,rapid
Yes,Male,18-34,more than IDR 25 million,East Jakarta,2019-05-19,rapid
No,Female,31-50,IDR 10-25 million,South Jakarta,2019-05-19,rapid
No,Male,50+,IDR 3-5 million,Central Jakarta,2019-05-19,rapid
Yes,Female,18-34,less than IDR 3 million,North Jakarta,2019-05-19,rapid
Yes,Female,31-50,IDR 5-10 million,North Jakarta,2019-05-19,rapid
No,Female,31-50,IDR 10-25 million,East Jakarta,2019-05-20,rapid
Yes,Male,50+,IDR 5-10 million,Central Jakarta,2019-05-20,rapid
Yes,Female,50+,IDR 3-5 million,Central Jakarta,2019-05-20,rapid
No,Female,18-34,IDR 10-25 million,East Jakarta,2019-05-20,rapid
No,Female,31-50,IDR 5-10 million,East Jakarta,2019-05-20,rapid
Yes,Female,31-50,IDR 5-10 million,East Jakarta,2019-05-20,rapid
Yes,Female,50+,IDR 5-10 million,East Jakarta,2019-05-20,rapid
Yes,Female,18-34,IDR 10-25 million,Central Jakarta,2019-05-20,rapid
No,Male,31-50,more than IDR 25 million,North Jakarta,2019-05-20,rapid
Yes,Female,31-50,IDR 3-5 million,South Jakarta,2019-05-20,rapid
No,Male,50+,IDR 10-25 million,East Jakarta,2019-05-20,rapid
Yes,Male,50+,IDR 3-5 million,North Jakarta,2019-05-20,rapid
Yes,Male,50+,more than IDR 25 million,East Jakarta,2019-05-20,rapid
No,Male,50+,more than IDR 25 million,Central Jakarta,2019-05-20,rapid
Yes,Female,31-50,more than IDR 25 million,West Jakarta,2019-05-21,rapid
No,Female,31-50,more than IDR 25 million,East Jakarta,2019-05-21,rapid
Yes,Female,18-34,IDR 5-10 million,Central Jakarta,2019-05-21,rapid
No,Male,31-50,IDR 10-25 million,West Jakarta,2019-05-21,rapid
No,Male,50+,less than IDR 3 million,North Jakarta,2019-05-21,rapid
Yes,Female,50+,less than IDR 3 million,East Jakarta,2019-05-21,rapid
Yes,Male,50+,IDR 3-5 million,Central Jakarta,2019-05-21,rapid
No,Male,18-34,less than IDR 3 million,Central Jakarta,2019-05-21,rapid
No,Female,18-34,IDR 3-5 million,South Jakarta,2019-05-21,rapid
Yes,Male,18-34,less than IDR 3 million,Central Jakarta,2019-05-21,rapid
Yes,Female,18-34,IDR 10-25 million,Central Jakarta,2019-05-21,rapid
No,Male,50+,more than IDR 25 million,East Jakarta,2019-05-21,rapid
Yes,Male,18-34,IDR 10-25 million,West Jakarta,2019-05-21,rapid
Yes,Male,31-50,more than IDR 25 million,South Jakarta,2019-05-21,rapid
No,Male,50+,IDR 5-10 million,South Jakarta,2019-05-21,rapid
Yes,Female,50+,IDR 10-25 million,East Jakarta,2019-05-21,rapid
No,Female,18-34,more than IDR 25 million,West Jakarta,2019-05-22,rapid
No,Female,18-34,IDR 5-10 million,North Jakarta,2019-05-22,rapid
Yes,Female,31-50,less than IDR 3 million,East Jakarta,2019-05-22,rapid
Yes,Male,31-50,IDR 10-25 million,East Jakarta,2019-05-22,rapid
No,Male,50+,IDR 3-5 million,North Jakarta,2019-05-22,rapid
Yes,Male,50+,IDR 3-5 million,West Jakarta,2019-05-22,rapid
Yes,Male,50+,IDR 5-10 million,Central Jakarta,2019-05-22,rapid
No,Male,50+,IDR 3-5 million,West Jakarta,2019-05-22,rapid
No,Female,50+,IDR 10-25 million,Central Jakarta,2019-05-22,rapid
Yes,Male,31-50,less than IDR 3 million,South Jakarta,2019-05-22,rapid
Yes,Male,31-50,more than IDR 25 million,West Jakarta,2019-05-22,rapid
Yes,Female,50+,more than IDR 25 million,South Jakarta,2019-05-22,rapid
Yes,Female,31-50,IDR 5-10 million,Central Jakarta,2019-05-22,rapid
Yes,Female,31-50,IDR 5-10 million,Central Jakarta,2019-05-23,rapid
Yes,Female,50+,IDR 3-5 million,West Jakarta,2019-05-23,rapid
Yes,Female,31-50,IDR 3-5 million,North Jakarta,2019-05-23,rapid
Yes,Male,18-34,IDR 10-25 million,North Jakarta,2019-05-23,rapid
No,Male,50+,less than IDR 3 million,East Jakarta,2019-05-23,rapid
Yes,Female,18-34,less than IDR 3 million,West Jakarta,2019-05-23,rapid
Yes,Female,31-50,IDR 10-25 million,South Jakarta,2019-05-23,rapid
Yes,Female,50+,less than IDR 3 million,South Jakarta,2019-05-23,rapid
Yes,Female,18-34,IDR 5-10 million,West Jakarta,2019-05-23,rapid
Yes,Male,31-50,more than IDR 25 million,South Jakarta,2019-05-23,rapid
No,Female,50+,IDR 5-10 million,Central Jakarta,2019-05-23,rapid
No,Male,31-50,IDR 3-5 million,North Jakarta,2019-05-23,rapid
Yes,Female,18-34,IDR 5-10 million,Central Jakarta,2019-05-23,rapid
No,Female,31-50,IDR 10-25 million,North Jakarta,2019-05-23,rapid
Yes,Male,50+,IDR 10-25 million,West Jakarta,2019-05-23,rapid
Yes,Female,18-34,IDR 10-25 million,Central Jakarta,2019-05-23,rapid
No,Female,31-50,IDR 3-5 million,East Jakarta,2019-05-23,rapid
No,Female,31-50,less than IDR 3 million,South Jakarta,2019-05-23,rapid
No,Male,50+,less than IDR 3 million,South Jakarta,2019-05-23,rapid
